Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Saben Lee,24.4,PHX,Point,146,9.2,2,34.1%,98,63%,2,11%,0,0%,0,11%,95,18%,5,9%,14,27%
Alex Len,30.4,SAC,Big,403,8.8,78,62.5%,72,65%,83,31%,44,2%,75,33%,32,1%,0,0%,23,1%
Kawhi Leonard,32.3,LAC,Big,2329,34.3,63,58.7%,8,22%,89,34%,95,17%,97,51%,53,6%,64,21%,58,27%
Kira Lewis Jr.,22.6,NOP,Point,102,11.4,0,28.8%,93,47%,7,14%,23,6%,5,19%,77,11%,19,22%,35,33%
Kira Lewis Jr.,22.6,UTA,Combo,105,13.1,33,50.0%,64,27%,95,41%,24,5%,91,46%,15,5%,22,22%,9,27%
Damian Lillard,33.3,MIL,Point,2578,35.3,35,51.0%,58,27%,16,16%,70,12%,33,29%,16,3%,81,42%,72,45%
Nassir Little,23.7,PHX,Wing,382,13.2,83,58.9%,64,33%,11,8%,30,3%,11,11%,72,22%,61,33%,67,56%
Dereck Lively II,19.7,DAL,Big,1287,23.4,99,74.4%,94,84%,28,15%,17,1%,17,15%,26,1%,0,0%,18,1%
Isaiah Livers,25.3,DET,Forward,435,19.0,15,47.0%,27,24%,6,6%,54,6%,10,11%,83,26%,88,39%,88,65%
Kevon Looney,27.7,GSW,Big,1182,16.0,74,60.4%,81,70%,68,25%,71,5%,66,30%,0,0%,0,0%,0,0%
Brook Lopez,35.6,MIL,Big,2399,30.4,60,58.3%,24,32%,25,14%,55,3%,26,17%,59,7%,95,43%,86,50%
Kevin Love,35.1,MIA,Big,922,16.8,39,56.0%,5,21%,17,13%,61,4%,23,16%,65,9%,99,54%,95,63%
Kyle Lowry,37.6,MIA,Point,1034,27.9,74,56.5%,19,16%,14,16%,21,5%,7,21%,91,16%,91,47%,98,63%
Kyle Lowry,37.6,PHI,Combo,650,28.3,85,57.5%,12,12%,27,16%,45,9%,23,25%,84,18%,87,45%,87,63%
Trey Lyles,28.0,SAC,Big,1146,19.8,57,58.1%,15,27%,1,7%,51,3%,4,10%,95,25%,92,38%,97,63%
Theo Maledon,22.4,CHA,Combo,190,14.7,2,35.2%,66,28%,53,23%,51,9%,53,32%,60,12%,34,28%,40,40%
Sandro Mamukelashvili,24.4,SAS,Big,365,10.2,47,57.1%,46,46%,35,17%,32,2%,30,18%,71,12%,70,23%,70,36%
Terance Mann,27.0,LAC,Wing,1805,24.1,85,59.4%,82,40%,57,17%,46,5%,49,21%,71,22%,14,17%,28,38%
Tre Mann,22.7,CHA,Combo,861,30.8,50,52.6%,88,34%,58,24%,33,7%,47,30%,30,7%,40,28%,27,36%
